Actual CPI value,Predicted CPI value,  Residuals
1.97,2.213085847,-0.243085847
2.21,2.174085642,0.035914358
2.21,2.246347743,-0.036347743
1.95,2.082712154,-0.132712154
2.35,2.183454918,0.166545082
2.38,2.250927315,0.129072685
2.37,2.233169503,0.136830497
2.38,2.302367702,0.077632298
2.08,2.202787759,-0.122787759
1.61,1.992709542,-0.382709542
2.37,2.209223292,0.160776708
2.38,2.176574277,0.203425723
2.05,2.180593396,-0.130593396
2.14,2.210095406,-0.070095406
2.27,2.255687121,0.014312879
2.19,2.238735512,-0.048735512
2.31,2.330247624,-0.020247624
2.36,2.249059006,0.110940994
2.38,2.372269635,0.007730365
2.4,2.240374834,0.159625166
1.42,2.007203491,-0.587203491
2.31,2.273106755,0.036893245
2.4,2.35050395,0.04949605
2.31,2.221975368,0.088024632
2.33,2.33572574,-0.00572574
1.93,1.954171216,-0.024171216
2.06,2.06342749,-0.00342749
2.14,2.30269707,-0.16269707
1.87,2.083273495,-0.213273495
2.3,2.253685493,0.046314507
2.37,2.245925571,0.124074429
2.16,2.246215161,-0.086215161
2.39,2.232958764,0.157041236
2.4,2.223613993,0.176386007
2.25,2.405027065,-0.155027065
2.19,2.245465628,-0.055465628
2.4,2.330225998,0.069774002
2.4,2.258116454,0.141883546
2.32,2.263218123,0.056781877
2.02,1.961611876,0.058388124
2.36,2.238410639,0.121589361
2.12,2.213983554,-0.093983554
2.3,2.284656761,0.015343239
2.03,2.04312563,-0.01312563
1.85,2.023025425,-0.173025425
2.39,2.227382121,0.162617879
2.31,2.291349299,0.018650701
2.03,2.19648442,-0.16648442
2.14,2.167985092,-0.027985092
2,1.924571025,0.075428975
2.4,2.332320811,0.067679189
2.1,2.187495512,-0.087495512
2.41,2.261255948,0.148744052
2.1,2.189516974,-0.089516974
2.2,2.213734367,-0.013734367
2.36,2.294599367,0.065400633
2.08,2.215977615,-0.135977615
2.04,2.212088743,-0.172088743
2.05,2.225243699,-0.175243699
2.18,2.21159027,-0.03159027
2.29,2.278151504,0.011848496
2.08,2.176686374,-0.096686374
2.11,2.272962857,-0.162962857
2.37,2.293575895,0.076424105
2.31,2.299863325,0.010136675
2.07,2.218355166,-0.148355166
1.97,2.23028971,-0.26028971
2.3,2.209814605,0.090185395
2.06,2.164470443,-0.104470443
2.05,2.191410087,-0.141410087
2.1,2.306505817,-0.206505817
1.86,2.067020392,-0.207020392
2.21,2.315425534,-0.105425534
2.39,2.182698898,0.207301102
2.39,2.209640964,0.180359036
2.38,2.230111698,0.149888302
1.92,2.013012577,-0.093012577
2.32,2.271419556,0.048580444
2.4,2.201106409,0.198893591
1.53,2.020778706,-0.490778706
2.37,2.217869287,0.152130713
2.29,2.267666852,0.022333148
2.02,2.007913827,0.012086173
2.35,2.205670314,0.144329686
2.02,2.196218781,-0.176218781
2.38,2.369085979,0.010914021
2.13,2.256199665,-0.126199665
1.56,2.013062942,-0.453062942
2.07,2.329472206,-0.259472206
1.67,2.025845841,-0.355845841
2.25,2.175017734,0.074982266
2.37,2.268056682,0.101943318
2.05,2.165446608,-0.115446608
2.21,2.03290381,0.17709619
2.37,2.275373537,0.094626463
1.97,2.119113923,-0.149113923
2.29,2.263926075,0.026073925
2.26,2.207316453,0.052683547
2.18,2.219304938,-0.039304938
2.26,2.236424749,0.023575251
2.05,2.208730847,-0.158730847
2.05,2.082970355,-0.032970355
2.22,2.24166742,-0.02166742
1.93,2.19851275,-0.26851275
2.18,2.278503499,-0.098503499
2.14,2.200152958,-0.060152958
2.2,2.221118959,-0.021118959
2.37,2.26925846,0.10074154
2.15,2.269908838,-0.119908838
2.33,2.203072459,0.126927541
2.24,2.155556499,0.084443501
2.37,2.217782839,0.152217161
1.9,2.245896178,-0.345896178
2.3,2.182512238,0.117487762
2.36,2.021361344,0.338638656
2.04,2.210441477,-0.170441477
2.05,2.313045143,-0.263045143
1.96,1.993292964,-0.033292964
2.29,2.24573902,0.04426098
2.03,2.101097929,-0.071097929
2.13,2.25062238,-0.12062238
2.35,2.214097853,0.135902147
2.12,2.178249494,-0.058249494
2.37,2.258170915,0.111829085
1.89,1.950396355,-0.060396355
1.72,2.015110764,-0.295110764
2.38,2.222880617,0.157119383
2.06,2.214395532,-0.154395532
2.39,2.223851259,0.166148741
2.01,1.92656649,0.08343351
2.18,2.043294666,0.136705334
2.15,2.194139528,-0.044139528
2.06,2.194602275,-0.134602275
2.38,2.261384547,0.118615453
2.1,2.218800755,-0.118800755
1.98,2.096080852,-0.116080852
2.27,2.300776087,-0.030776087
2.05,2.20877889,-0.15877889
1.75,2.015536811,-0.265536811
2.18,2.199846072,-0.019846072
2.03,2.031642936,-0.001642936
2.04,2.163706322,-0.123706322
2.15,2.250298478,-0.100298478
2.4,2.230643943,0.169356057
2.21,2.22016785,-0.01016785
2.16,2.279141586,-0.119141586
2.07,2.23849104,-0.16849104
2.09,2.094798196,-0.004798196
1.7,1.994837541,-0.294837541
2.37,2.243469776,0.126530224
2.26,2.17119541,0.08880459
2.12,2.204735484,-0.084735484
2.41,2.2275457,0.1824543
2.37,2.264251054,0.105748946
2.38,2.210403889,0.169596111
2.31,2.280191047,0.029808953
1.85,2.006741994,-0.156741994
1.97,2.092195455,-0.122195455
1.66,2.092970065,-0.432970065
2.15,2.251142966,-0.101142966
2.14,2.235600212,-0.095600212
2.13,2.203428695,-0.073428695
2.4,2.261458334,0.138541666
1.82,1.950705471,-0.130705471
1.79,1.985805311,-0.195805311
2.39,2.273587761,0.116412239
2.06,2.222563147,-0.162563147
2.39,2.252807131,0.137192869
2.05,1.998242236,0.051757764
2.39,2.319475074,0.070524926
2.2,2.272811662,-0.072811662
2.24,2.154225286,0.085774714
2.31,2.229883491,0.080116509
2.19,2.33935736,-0.14935736
2.41,2.239002095,0.170997905
2.13,2.226729408,-0.096729408
2.39,2.25718648,0.13281352
2.19,2.251980812,-0.061980812
