Actual CPI value,Predicted CPI value,  Residuals
0.395604396,0.457190974,-0.061586579
0.318681319,0.506543041,-0.187861723
0.692307692,0.585441574,0.106866118
0.5,0.494801257,0.005198743
0.467032967,0.569584695,-0.102551728
0.626373626,0.528997391,0.097376235
0.637362637,0.49777022,0.139592417
0.538461538,0.476052929,0.06240861
0.835164835,0.563578859,0.271585976
0.527472527,0.578426528,-0.050954001
0.653846154,0.498288373,0.155557781
0.620879121,0.552794699,0.068084421
0.60989011,0.540426581,0.069463529
0.631868132,0.500823372,0.13104476
0.631868132,0.585084879,0.046783253
0.626373626,0.558501444,0.067872182
0.543956044,0.506507217,0.037448827
0.406593407,0.513949518,-0.107356111
0.478021978,0.533719187,-0.055697209
0.521978022,0.611958543,-0.089980521
0.543956044,0.551573668,-0.007617624
0.653846154,0.555271382,0.098574772
0.478021978,0.591051539,-0.113029561
0.554945055,0.521205086,0.033739969
0.516483516,0.513172878,0.003310639
0.714285714,0.560338751,0.153946963
0.346153846,0.219409517,0.126744329
0.631868132,0.577617057,0.054251074
0.851648352,0.577249171,0.274399181
0.549450549,0.63728849,-0.087837941
0.406593407,0.416529215,-0.009935808
0.664835165,0.560298359,0.104536806
0.945054945,0.513100153,0.431954792
0.615384615,0.64285559,-0.027470974
0.340659341,0.571939644,-0.231280304
0.395604396,0.486121237,-0.090516842
0.631868132,0.508742699,0.123125433
0.56043956,0.480590955,0.079848606
0.692307692,0.598994956,0.093312736
0.956043956,0.607754129,0.348289827
0.532967033,0.598226447,-0.065259414
0.857142857,0.501948036,0.355194821
0.637362637,0.606490026,0.030872611
0.56043956,0.637801532,-0.077361971
0.335164835,0.42623112,-0.091066284
0.598901099,0.583695805,0.015205294
0.741758242,0.489216833,0.252541409
0.582417582,0.603246204,-0.020828621
0,0.390931121,-0.390931121
0.28021978,0.181813895,0.098405886
